,N_People
2908,6
2909,8
2910,11
2911,2
2912,11
2913,0
2914,8
2915,5
2916,7
2917,0
2918,5
2919,0
2920,8
2921,6
2922,0
2923,7
2924,6
2925,8
2926,5
2927,0
2928,1
2929,7
2930,2
2931,7
2932,11
2933,6
2934,8
2935,5
2936,5
2937,8
2938,2
2939,0
2940,11
2941,6
2942,2
2943,8
2944,8
2945,6
2946,11
2947,5
2948,7
2949,5
2950,8
2951,0
2952,10
2953,7
2954,7
2955,6
2956,5
2957,8
2958,8
2959,6
2960,2
2961,6
2962,0
2963,7
2964,8
2965,7
2966,8
2967,11
2968,7
2969,5
2970,0
2971,11
2972,8
2973,6
2974,9
2975,7
2976,2
2977,0
2978,0
2979,2
2980,0
2981,11
2982,1
2983,0
2984,11
2985,0
2986,11
2987,6
2988,0
2989,0
2990,6
2991,8
2992,6
